Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Bangladesh,BGD,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.622894753150526
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,88
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.5
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.372
Bangladesh,BGD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,12.9572760433733
Bangladesh,BGD,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,31.2482919641603
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.70207015717239
Barbados,BRB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18740.3488338921
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.936
Barbados,BRB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..
Barbados,BRB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,92
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.159
Barbados,BRB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.43565536761478
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.3
Barbados,BRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.622
Barbados,BRB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.90604243027997
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,13.8367970386892
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.66018463955996
Belarus,BLR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,25503.9809859339
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.1292682926829
Belarus,BLR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,91.3261489868164
Belarus,BLR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.134
Belarus,BLR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,6.36653663515202
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.7
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.4
Belarus,BLR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.648
Belarus,BLR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,7.56610054090858
Belarus,BLR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,31.5542610734955
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.03183725177793
Belgium,BEL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,58502.2552655238
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4926829268293
Belgium,BEL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,80.7738189697266
Belgium,BEL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,97.961
Belgium,BEL,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,8.76474858634931
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.7
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.09
